region,province,milieu,type_centre,etat_centre,province_id
Tanger-Tétouan-Al Hoceïma,Al Hoceima,Rural,CSP,Opérationnel,MA-HOC
Tanger-Tétouan-Al Hoceïma,Al Hoceima,Rural,CSP,Opérationnel,MA-HOC
Tanger-Tétouan-Al Hoceïma,Al Hoceima,Rural,CSP,Opérationnel,MA-HOC
Tanger-Tétouan-Al Hoceïma,Al Hoceima,Rural,CSP,Opérationnel,MA-HOC
Tanger-Tétouan-Al Hoceïma,Tanger- Assilah,Urbain,CSP A,Opérationnel,MA-TNG
Tanger-Tétouan-Al Hoceïma,Chefchaouen,Rural,CSPI,Opérationnel,MA-CHE
Tanger-Tétouan-Al Hoceïma,Chefchaouen,Rural,CSPI,Opérationnel,MA-CHE
Tanger-Tétouan-Al Hoceïma,Larache,Rural,CSPI,Opérationnel,MA-LAR
Tanger-Tétouan-Al Hoceïma,Larache,Urbain,CSPI,Opérationnel,MA-LAR
Souss-Massa,AGADIR IDA OUTANANE,Urbain,CSP A,En aménagement,MA-AGD
Souss-Massa,Chtouka Ait Baha,Rural,CSP B,En aménagement,MA-CHT
Souss-Massa,AGADIR IDA OUTANANE,Rural,CSP B,En aménagement,MA-AGD
Souss-Massa,Taroudant,Urbain,CSP B,En aménagement,MA-TAR
Souss-Massa,Taroudant,Rural,CSP A,Opérationnel,MA-TAR
Souss-Massa,TATA,Urbain,CSP B,En aménagement,MA-TAT
Souss-Massa,TIZNIT,Rural,CSP A,En aménagement,MA-TIZ
Souss-Massa,TIZNIT,Rural,CSP B,En aménagement,MA-TIZ
Fès-Meknès,Fès,Urbain,CSP A,Opérationnel,MA-FES
Fès-Meknès,Fès,Urbain,CSP A,Opérationnel,MA-FES
Fès-Meknès,Fès,Urbain,CSP A,Opérationnel,MA-FES
Fès-Meknès,IFRANE,Urbain,CSP A,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Urbain,CSP A,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Rural,CSP A,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Rural,CSP A,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Rural,CSP A,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Rural,CSP A,Opérationnel,MA-IFR
Fès-Meknès,Moulay Yacoub,Rural,CSP A,Opérationnel,MA-MOU
Fès-Meknès,Moulay Yacoub,Rural,CSP A,Opérationnel,MA-MOU
Fès-Meknès,Taounate,Rural,CSP,Opérationnel,MA-TAO
Fès-Meknès,Taounate,Urbain,CSP,Opérationnel,MA-TAO
Fès-Meknès,Taounate,Rural,CSP,Opérationnel,MA-TAO
Fès-Meknès,el hajeb,Urbain,CSP,Opérationnel,MA-HAJ
Fès-Meknès,Mèknes,Urbain,CSP,Opérationnel,MA-MEK
Fès-Meknès,Mèknes,Urbain,CSP,Opérationnel,MA-MEK
Fès-Meknès,Mèknes,Rural,CSP,Opérationnel,MA-MEK
Fès-Meknès,Mèknes,Urbain,CSP,Opérationnel,MA-MEK
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI A,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI A,Quasi-opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI A,Quasi-opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI B,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI A,Quasi-opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI B,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI B,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI C,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,khemisset,Urbain,CSP B,Quasi-opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Rural,CSP B,Quasi-opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Urbain,CSP B,Opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Rural,CSP B,Opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Rural,CSP B,Non opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Rural,CSP A,Opérationnel,MA-KHE
Rabat-Salé-Kénitra,Rabat,Urbain,CSP A,Non opérationnel,MA-RAB
Rabat-Salé-Kénitra,Rabat,Urbain,CSP A,Opérationnel,MA-RAB
Rabat-Salé-Kénitra,Rabat,Urbain,CSP A,Opérationnel,MA-RAB
Rabat-Salé-Kénitra,Salé,Urbain,CSP A,Opérationnel,MA-SAL
Rabat-Salé-Kénitra,Salé,Urbain,CSP A,Opérationnel,MA-SAL
Rabat-Salé-Kénitra,Salé,Urbain,CSP A,Opérationnel,MA-SAL
Rabat-Salé-Kénitra,Skhirat Temara,Rural,CSP A,Opérationnel,MA-SKH
Marrakech-Safi,El Kalaa des Sraghna,Urbain,CSP B,Opérationnel,MA-KES
Marrakech-Safi,El Kalaa des Sraghna,Urbain,CSP B,Opérationnel,MA-KES
Marrakech-Safi,El Kalaa des Sraghna,Urbain,CSP B,Quasi-opérationnel,MA-KES
Marrakech-Safi,El Kalaa des Sraghna,Urbain,CSP B,Quasi-opérationnel,MA-KES
Marrakech-Safi,YOUSSOUFIA,Urbain,CSP C,Quasi-opérationnel,MA-YUS
Marrakech-Safi,Al Haouz,Urbain,CSP A,Opérationnel,MA-HAO
Marrakech-Safi,Essaouira,Urbain,CSP B,Opérationnel,MA-ESI
Marrakech-Safi,Essaouira,Rural,CSP B,Opérationnel,MA-ESI
Marrakech-Safi,Essaouira,Rural,CSP C,Opérationnel,MA-ESI
Marrakech-Safi,Essaouira,Rural,CSP C,Opérationnel,MA-ESI
Marrakech-Safi,Safi,Urbain,CSP A,Opérationnel,MA-SAF
Marrakech-Safi,chichaoua,Urbain,CSP A,Opérationnel,MA-CHI
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP B,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP B,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP B,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP B,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Opérationnel,MA-OUJ
L'Oriental,Oujda Angad / Taourirte,Urbain,CSP C,Opérationnel,MA-OUJ
