region,province,milieu,type_centre,propriete,superficie_m2,etat_centre,province_id
Tanger-Tétouan-Al Hoceïma,Al Hoceima,Rural,CSP,MJCC,2,Opérationnel,MA-HOC
Tanger-Tétouan-Al Hoceïma,Al Hoceima,Rural,CSP,MJCC,2,Opérationnel,MA-HOC
Tanger-Tétouan-Al Hoceïma,Al Hoceima,Rural,CSP,MJCC,2,Opérationnel,MA-HOC
Tanger-Tétouan-Al Hoceïma,Al Hoceima,Rural,CSP,MJCC,2,Opérationnel,MA-HOC
Tanger-Tétouan-Al Hoceïma,Tanger- Assilah,Urbain,CSP A,MJCC,3200,Opérationnel,MA-TNG
Tanger-Tétouan-Al Hoceïma,Chefchaouen,Rural,CSPI,NON,7000,Opérationnel,MA-CHE
Tanger-Tétouan-Al Hoceïma,Chefchaouen,Rural,CSPI,NON,9000,Opérationnel,MA-CHE
Tanger-Tétouan-Al Hoceïma,Larache,Rural,CSPI,Domaine Communal,3000,Opérationnel,MA-LAR
Tanger-Tétouan-Al Hoceïma,Larache,Urbain,CSPI,Domaine Communal,4800,Opérationnel,MA-LAR
Souss-Massa,AGADIR IDA OUTANANE,Urbain,CSP A,Al Omrane,2,En aménagement,MA-AGD
Souss-Massa,Chtouka Ait Baha,Rural,CSP B,Commune,2,En aménagement,MA-CHT
Souss-Massa,AGADIR IDA OUTANANE,Rural,CSP B,Commune,3700,En aménagement,MA-AGD
Souss-Massa,Taroudant,Urbain,CSP B,Lot Communal,2,En aménagement,MA-TAR
Souss-Massa,Taroudant,Rural,CSP A,Lot Communal,2,Opérationnel,MA-TAR
Souss-Massa,TATA,Urbain,CSP B,MJCC,2,En aménagement,MA-TAT
Souss-Massa,TIZNIT,Rural,CSP A,Domaine de l'État,2,En aménagement,MA-TIZ
Souss-Massa,TIZNIT,Rural,CSP B,Domaine de l'État,2,En aménagement,MA-TIZ
Fès-Meknès,Fès,Urbain,CSP A,MJCC,2,Opérationnel,MA-FES
Fès-Meknès,Fès,Urbain,CSP A,MJCC,2,Opérationnel,MA-FES
Fès-Meknès,Fès,Urbain,CSP A,MJCC,2,Opérationnel,MA-FES
Fès-Meknès,IFRANE,Urbain,CSP A,NON,2,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Urbain,CSP A,NON,2,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Rural,CSP A,NON,2,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Rural,CSP A,NON,2,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Rural,CSP A,NON,2,Opérationnel,MA-IFR
Fès-Meknès,IFRANE,Rural,CSP A,NON,2,Opérationnel,MA-IFR
Fès-Meknès,Moulay Yacoub,Rural,CSP A,NON,400,Opérationnel,MA-MOU
Fès-Meknès,Moulay Yacoub,Rural,CSP A,Commune,600,Opérationnel,MA-MOU
Fès-Meknès,Taounate,Rural,CSP,MJCC,2,Opérationnel,MA-TAO
Fès-Meknès,Taounate,Urbain,CSP,MJCC,2,Opérationnel,MA-TAO
Fès-Meknès,Taounate,Rural,CSP,MJCC,2,Opérationnel,MA-TAO
Fès-Meknès,el hajeb,Urbain,CSP,MJCC,2,Opérationnel,MA-HAJ
Fès-Meknès,Mèknes,Urbain,CSP,Commune,2,Opérationnel,MA-MEK
Fès-Meknès,Mèknes,Urbain,CSP,NON,2,Opérationnel,MA-MEK
Fès-Meknès,Mèknes,Rural,CSP,Commune,2,Opérationnel,MA-MEK
Fès-Meknès,Mèknes,Urbain,CSP,Commune,2,Opérationnel,MA-MEK
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI A,Collectif,6000,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI A,Maritime,6000,Quasi-opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI A,Al Omrane,6000,Quasi-opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI B,Collectif,6000,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI A,Collectif,6000,Quasi-opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI B,Al Omrane,6000,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI B,Collectif,3500,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,Kénitra,Urbain,CSPI C,Domaine Communal,3600,Opérationnel,MA-KEN
Rabat-Salé-Kénitra,khemisset,Urbain,CSP B,Commune,2938,Quasi-opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Rural,CSP B,Commune,4080,Quasi-opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Urbain,CSP B,Commune,5000,Opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Rural,CSP B,Commune,3243,Opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Rural,CSP B,NON,2,Non opérationnel,MA-KHE
Rabat-Salé-Kénitra,khemisset,Rural,CSP A,NON,5953,Opérationnel,MA-KHE
Rabat-Salé-Kénitra,Rabat,Urbain,CSP A,MJCC,2,Non opérationnel,MA-RAB
Rabat-Salé-Kénitra,Rabat,Urbain,CSP A,MJCC,2,Opérationnel,MA-RAB
Rabat-Salé-Kénitra,Rabat,Urbain,CSP A,MJCC,2,Opérationnel,MA-RAB
Rabat-Salé-Kénitra,Salé,Urbain,CSP A,MJCC,4000,Opérationnel,MA-SAL
Rabat-Salé-Kénitra,Salé,Urbain,CSP A,MJCC,4476,Opérationnel,MA-SAL
Rabat-Salé-Kénitra,Salé,Urbain,CSP A,MJCC,3451,Opérationnel,MA-SAL
Rabat-Salé-Kénitra,Skhirat Temara,Rural,CSP A,Tamassna,20000,Opérationnel,MA-SKH
Marrakech-Safi,El Kalaa des Sraghna,Urbain,CSP B,MJCC,2,Opérationnel,MA-KES
Marrakech-Safi,El Kalaa des Sraghna,Urbain,CSP B,MJCC,2,Opérationnel,MA-KES
Marrakech-Safi,El Kalaa des Sraghna,Urbain,CSP B,MJCC,2,Quasi-opérationnel,MA-KES
Marrakech-Safi,El Kalaa des Sraghna,Urbain,CSP B,MJCC,2,Quasi-opérationnel,MA-KES
Marrakech-Safi,YOUSSOUFIA,Urbain,CSP C,Commune,2000,Quasi-opérationnel,MA-YUS
